address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state
"2530 W Happy Valley Rd, Ste 1271","{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '4', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",_9u7I2RN0NEJnWaP2zhWsQ,"Food, Ice Cream & Frozen Yogurt",Phoenix,,0,33.7129708,-112.1130157,Paciugo Gelato,85085,6,3.5,AZ
1985 Queen Street E,,JHlliXHouAUSHLtiiMyUqA,"Vietnamese, Restaurants, Ice Cream & Frozen Yogurt, Food",Toronto,,0,43.669759899999995,-79.3001663,Cool Star,M4L 1J1,3,4.5,ON
1024 Bellevue Avenue SE,"{'RestaurantsAttire': ""'casual'"", 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'None', 'RestaurantsTakeOut': 'None', 'RestaurantsPriceRange2': '2', 'RestaurantsGoodForGroups': 'None', 'Caters': 'False', 'GoodForKids': 'True', 'BikeParking': 'True', 'RestaurantsReservations': 'False', 'WiFi': ""u'free'""}",BWTbccWHYd4vUspWSlB4Zg,"Food, Hot Dogs, Desserts, Ice Cream & Frozen Yogurt, Restaurants",Calgary,"{'Monday': '11:30-20:30', 'Tuesday': '11:30-20:30', 'Wednesday': '11:30-20:30', 'Thursday': '11:30-20:30', 'Friday': '11:30-20:30', 'Saturday': '11:30-20:30', 'Sunday': '11:30-20:30'}",0,51.0409874,-114.0431246,Pop's Dairy Bar,T2G 4L1,11,4.0,AB
4825 Richard Road SW,"{'RestaurantsDelivery': 'False', 'GoodForKids': 'True', 'RestaurantsAttire': ""'casual'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BikeParking': 'False', 'NoiseLevel': ""'average'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False}"", 'RestaurantsReservations': 'False', 'HasTV': 'False', 'WiFi': ""'no'"", 'Caters': 'False', 'Alcohol': ""'none'"", 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2'}",z_BS6qapXMX1fA4ZLZ3jCA,"Restaurants, Ice Cream & Frozen Yogurt, Food, Fast Food",Calgary,"{'Monday': '10:0-22:0', 'Tuesday': '10:0-22:0', 'Wednesday': '10:0-22:0', 'Thursday': '10:0-22:0', 'Friday': '10:0-22:0', 'Saturday': '10:0-22:0', 'Sunday': '10:0-22:0'}",1,51.0138272453,-114.1327861469,Dairy Queen Brazier,T3E 6K6,4,1.0,AB
125 W Station Square Dr,"{'BusinessParking': ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'WiFi': ""'no'"", 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'False'}",vg-r3melXfuPnjMjDp3VOw,"Ice Cream & Frozen Yogurt, Food, Desserts",Pittsburgh,"{'Monday': '10:0-21:0', 'Tuesday': '10:0-21:0', 'Wednesday': '10:0-21:0', 'Thursday': '10:0-21:0', 'Friday': '10:0-21:0', 'Saturday': '10:0-21:0', 'Sunday': '12:0-17:0'}",1,40.434009,-80.005785,Carol's Confections,15219,10,3.5,PA
362 King Street E,"{'RestaurantsPriceRange2': '2', 'RestaurantsTakeOut': 'True', 'WiFi': ""'no'"", 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'DogsAllowed': 'False', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'OutdoorSeating': 'True', 'Alcohol': ""'none'"", 'RestaurantsDelivery': 'False', 'Caters': 'True'}",fGdUxfeEWp9pn2sAa9rv2w,"Food, Coffee & Tea, Bakeries, Ice Cream & Frozen Yogurt, Specialty Food",Toronto,"{'Monday': '0:0-0:0', 'Wednesday': '11:0-18:0', 'Thursday': '11:0-18:0', 'Friday': '12:0-18:0', 'Saturday': '11:0-18:0', 'Sunday': '9:0-15:0'}",1,43.6535432,-79.3620478,Roselle,M5A 1K9,171,4.5,ON
"10670 Southern Highlands Pkwy, Ste 103","{'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}",ghc7Yqr7RkNbj3ydTpGuRQ,"Ice Cream & Frozen Yogurt, Food",Las Vegas,,0,35.9968788,-115.20754690000001,Tutti Bella Yogurt,89141,5,4.5,NV
300 Borough Drive,"{'WiFi': ""'no'"", 'RestaurantsPriceRange2': '1'}",mLI9Jf7byDnT6WDXsnlW5Q,"Ice Cream & Frozen Yogurt, Juice Bars & Smoothies, Food",Scarborough,,1,43.7767555,-79.25900809999999,Baskin-Robbins Ice Cream,M1P 4P5,3,4.5,ON
6132 W Charleston Blvd,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'WheelchairAccessible': 'True'}",N4r3XX7uH42aXhHvFMkxjA,"Mailbox Centers, Juice Bars & Smoothies, Gelato, Desserts, Local Services, Mexican, Restaurants, Candy Stores, Ice Cream & Frozen Yogurt, Shaved Ice, Specialty Food, Food",Las Vegas,"{'Monday': '8:30-21:45', 'Tuesday': '8:30-21:45', 'Wednesday': '8:30-21:45', 'Thursday': '8:30-21:45', 'Friday': '8:30-21:45', 'Saturday': '8:30-21:45', 'Sunday': '9:0-9:45'}",1,36.1592624,-115.22500579999999,Las Tapatias,89146,3,3.0,NV
"101 S Tryon St, Ste 10","{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",3vxNIpEg5SmmInek0b7ulQ,"Ice Cream & Frozen Yogurt, Food",Charlotte,,0,35.22632670000001,-80.8429359,The Frozen Isle,28280,11,4.5,NC
531 Indian Trail Rd S,"{'WiFi': ""'no'"", 'BikeParking': 'True', 'Caters': 'True', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True'}",VLh2PFNIokT-9sqtVPQQ9A,"Ice Cream & Frozen Yogurt, Food",Indian Trail,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",1,35.068915399999995,-80.6774471,Bruster's Real Ice Cream,28079,14,4.0,NC
Horizon Ridge and Stephanie St,"{'BusinessAcceptsCreditCards': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",3FsO5T0X57pAbixNkcyvxg,"Food, Ice Cream & Frozen Yogurt",Henderson,,0,36.0217324,-115.047431,Ice Cream Overload,89012,3,3.0,NV
2362 Professor Ave,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '1', 'RestaurantsTakeOut': 'True', 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'Caters': 'False'}",GhOWffUr9yDBxB5Ceqzc_Q,"Food, Ice Cream & Frozen Yogurt",Cleveland,"{'Monday': '16:0-21:0', 'Tuesday': '16:0-21:0', 'Wednesday': '16:0-21:0', 'Thursday': '16:0-21:0', 'Friday': '16:0-22:0', 'Saturday': '12:0-22:0', 'Sunday': '12:0-21:0'}",1,41.4800318,-81.68548829999999,Tremont Scoops,44113,89,4.0,OH
"3301 N Litchfield Rd, Ste 400","{'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'True', 'Caters': 'True', 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True', 'WiFi': ""'no'"", 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",uVjpi3zpcrEb7Z34_B253g,"Food, Ice Cream & Frozen Yogurt, Custom Cakes, Event Planning & Services, Customs Brokers, Cupcakes, Caterers, Professional Services",Goodyear,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-23:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",1,33.48444,-112.361787,Cold Stone Creamery,85338,27,3.5,AZ
10965 Lavender Hill Dr,"{'BikeParking': 'True', 'WiFi': ""u'no'"", 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'True', 'Caters': 'False', 'RestaurantsPriceRange2': '1', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTakeOut': 'True'}",I8T4Xsp3Wv7W-RJhsHrTDA,"Ice Cream & Frozen Yogurt, Food",Las Vegas,"{'Monday': '11:30-21:0', 'Tuesday': '11:30-21:0', 'Wednesday': '11:30-21:0', 'Thursday': '11:30-21:0', 'Friday': '11:30-22:0', 'Saturday': '11:30-22:0', 'Sunday': '11:30-21:0'}",1,36.1448691018,-115.33309406059999,Menchie's Frozen Yogurt,89135,49,3.5,NV
1103 Klein Ave,"{'GoodForKids': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'False'}",sDfN5qJlmvrwTfwEPBsxSg,"Fast Food, Ice Cream & Frozen Yogurt, Restaurants, Food",Rantoul,,1,40.3112989,-88.1428825,Dairy Queen,61866,4,2.0,IL
400 Lebanon Rd,"{'WiFi': ""'no'"", 'BikeParking': 'False', 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",cvM7SnDFJdaUGJXxzz_Z2Q,"Food, Ice Cream & Frozen Yogurt",West Mifflin,,1,40.3713914,-79.9275317,Dairy Queen,15122,4,3.0,PA
4845 S Fort Apache Rd,"{'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""u'none'"", 'WiFi': ""'free'"", 'OutdoorSeating': 'False', 'Caters': 'True', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'RestaurantsPriceRange2': '1', 'RestaurantsDelivery': 'False', 'HasTV': 'True', 'BikeParking': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': False}"", 'RestaurantsReservations': 'False', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'NoiseLevel': ""u'quiet'"", 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'False'}",iX2c4IzH_L5F6FM5GD3SUQ,"Restaurants, Desserts, Food, Juice Bars & Smoothies, Creperies, Ice Cream & Frozen Yogurt",Las Vegas,"{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '12:0-21:0', 'Sunday': '12:0-21:0'}",1,36.101689985,-115.2981502597,Tasty Crepes,89147,260,4.5,NV
300 S Boulder Hwy,"{'RestaurantsAttire': ""'casual'"", 'RestaurantsTakeOut': 'True', 'RestaurantsTableService': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'none'"", 'WiFi': ""'no'"", 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '1', 'RestaurantsGoodForGroups': 'True', 'RestaurantsReservations': 'False', 'HasTV': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'GoodForKids': 'True', 'GoodForMeal': ""{'dessert': True, 'latenight': True, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': True}"", 'NoiseLevel': ""u'average'"", 'Caters': 'False', 'BikeParking': 'True'}",KXO9aGAOWAJEmHD_d8yQ7A,"American (Traditional), Food, Burgers, Restaurants, Fast Food, Ice Cream & Frozen Yogurt",Henderson,"{'Monday': '6:0-0:0', 'Tuesday': '6:0-0:0', 'Wednesday': '6:0-0:0', 'Thursday': '6:0-0:0', 'Friday': '6:0-1:0', 'Saturday': '6:0-1:0', 'Sunday': '6:0-0:0'}",1,36.036526,-114.97741040000001,Sonic Drive-In,89015,78,3.0,NV
3440 E Baseline Rd,"{'WiFi': ""'no'"", 'RestaurantsPriceRange2': '1', 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'Alcohol': ""'none'"", 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'True'}",1FvN1961ct3_iv9SvdBGQA,"Food, Ice Cream & Frozen Yogurt",Mesa,"{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-23:0', 'Saturday': '11:0-23:0', 'Sunday': '11:0-22:0'}",1,33.379624199999995,-111.75598740000001,Yogurtland,85204,63,3.5,AZ
